,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
S1PR1,-0.040869257,6.087444575,-3.189318924,0.001459472,0.00647651,-2.016507658,-0.089448865,0.089448865
SH3GLB2,-0.027562949,6.362653042,-3.296084536,0.001006376,0.004761516,-2.017418309,-0.06400819,0.06400819
C14orf166B,0.130152191,2.178878074,2.905590462,0.003726495,0.013807565,-2.01943818,0.242067837,0.242067837
SIX5,-0.032652944,6.189145655,-3.234779817,0.001247408,0.005686415,-2.020576491,-0.073311131,0.073311131
LOC150381,0.06066862,5.496007259,2.976083154,0.002972498,0.011492067,-2.0216198,0.117672968,0.117672968
VPS28,0.026528581,6.457909591,3.327523791,0.000900246,0.004343773,-2.02280947,0.062664033,0.062664033
FOLH1,0.075964935,5.607340797,3.012469796,0.002640446,0.01045,-2.02579633,0.150477703,0.150477703
ANTXRL,0.218838313,2.640652813,2.900187282,0.003790923,0.014008236,-2.02639266,0.405642321,0.405642321
EXOSC9,0.020169542,6.157338622,3.233950257,0.001251008,0.005700191,-2.027097037,0.045262683,0.045262683
SH3RF1,-0.030525952,6.300260708,-3.273321544,0.00109033,0.005075939,-2.028527293,-0.070041296,0.070041296
MLKL,0.036461141,5.910170033,3.125618381,0.001812862,0.007708278,-2.028998881,0.077043945,0.077043945
PRKCG,0.216089459,2.952318342,2.896342624,0.003837383,0.014142822,-2.029459809,0.399649656,0.399649656
CRIM1,-0.034361463,6.425435255,-3.307727154,0.00096579,0.004604835,-2.030645622,-0.080295382,0.080295382
KCND2,-0.100459325,5.60281243,-2.973149375,0.003000867,0.011588625,-2.031028821,-0.194486046,0.194486046
VMAC,-0.031166251,5.804706394,-3.058364265,0.002270102,0.009272679,-2.031445127,-0.063354593,0.063354593
C20orf7,0.024457073,5.87357127,3.103998873,0.001949666,0.00816847,-2.032124488,0.051062927,0.051062927
KIAA0831,-0.022021254,6.16803444,-3.225589865,0.00128783,0.005842406,-2.03234605,-0.049182449,0.049182449
VENTXP1,0.070645439,1.977152558,2.89973942,0.003796309,0.014025509,-2.032881696,0.130911746,0.130911746
ITIH2,-0.249265118,3.426945911,-2.89301556,0.003878006,0.014260564,-2.033802687,-0.460109332,0.460109332
RUVBL2,0.023514891,6.419511167,3.314355703,0.000943366,0.004515384,-2.034458967,0.055149599,0.055149599
KCNU1,-0.201805345,2.454458856,-2.898537065,0.003810802,0.014068514,-2.035575877,-0.373693407,0.373693407
KIAA0495,-0.028676157,6.140313547,-3.210181078,0.001358332,0.006086575,-2.037201893,-0.063535669,0.063535669
EML2,-0.034298613,6.248262562,-3.251708289,0.001176002,0.005410925,-2.037327171,-0.077745643,0.077745643
LSM14B,0.019758296,6.361943202,3.297837699,0.001000165,0.004737812,-2.038787218,0.045926623,0.045926623
GJD4,0.172074168,2.458633336,2.894815817,0.003855977,0.014198086,-2.04208676,0.317953521,0.317953521
SUGT1P1,-0.188792796,3.737614869,-2.886128191,0.003963344,0.014509162,-2.044389179,-0.347068683,0.347068683
LASS4,-0.044643585,6.335984679,-3.276537674,0.001078087,0.005029628,-2.044550595,-0.102611679,0.102611679
FCHO1,0.080537505,5.584784825,2.999846112,0.002751593,0.010801028,-2.045054831,0.158379816,0.158379816
ROGDI,-0.033306599,6.245036319,-3.248240635,0.001190313,0.005470394,-2.045736694,-0.075338909,0.075338909
GDF9,-0.094933105,5.147618781,-2.8840732,0.003989135,0.014568727,-2.046997081,-0.174352089,0.174352089
TBX3,-0.055392529,6.365371515,-3.281459004,0.001059599,0.004960978,-2.050749876,-0.127648356,0.127648356
TBC1D8B,-0.040848639,5.975084021,-3.125042044,0.001816391,0.007718293,-2.051307707,-0.08629188,0.08629188
PRNP,0.032656381,6.386619816,3.302706338,0.000983102,0.004669322,-2.051366478,0.076113735,0.076113735
ZEB1,-0.040432337,6.179298285,-3.218949629,0.001317787,0.005948134,-2.051873212,-0.089986986,0.089986986
C2orf56,0.019361355,5.979189038,3.145170276,0.001696804,0.007308682,-2.052752033,0.041358971,0.041358971
KIF1B,0.024320718,6.370858337,3.2966581,0.00100434,0.004755305,-2.053250538,0.056492689,0.056492689
PPP3CC,-0.028834948,6.000053525,-3.139617837,0.001729047,0.007423913,-2.053714879,-0.061400189,0.061400189
KLC3,0.061007291,5.76504589,3.058723536,0.002267401,0.009263564,-2.054131227,0.12404136,0.12404136
KIN,0.019992355,6.021212917,3.164214784,0.001590373,0.006933289,-2.056077808,0.043164707,0.043164707
LSM3,0.021921552,6.289836174,3.272317661,0.001094178,0.005092021,-2.056138961,0.050268527,0.050268527
SPOCK2,0.052707521,6.103148707,3.211589056,0.001351745,0.006068086,-2.056210279,0.116849845,0.116849845
PRDX6,0.018478629,6.583862642,3.344936365,0.000846032,0.004118454,-2.056638876,0.044076442,0.044076442
GOLPH3L,-0.026940224,6.368687067,-3.28578854,0.001043578,0.004898758,-2.056934556,-0.062229601,0.062229601
